tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,tech_support,streaming_tv,num_complaints,satisfaction_score,churned
17,50.56641002679193,4051.4074204947456,2,0,1,1,0,7,4,1
4,154.24086277554906,2619.355139344408,1,1,0,1,0,6,3,0
44,113.14559309648206,6222.35774103369,0,1,0,0,0,8,3,0
4,151.57939278631372,5524.042314286752,2,1,0,0,0,4,2,0
59,183.70503683642997,9575.618674143416,2,0,0,0,1,4,4,1
12,184.6546171899174,7972.91538606287,2,3,1,1,0,4,2,0
47,74.20117128470626,900.5605680289201,0,0,2,0,0,8,1,0
7,48.536278608173504,7072.441251001976,1,0,0,1,1,1,3,1
12,98.08874537964415,1160.4396664355777,2,2,1,0,1,6,4,0
71,35.09853862911382,3298.56892289204,0,2,0,1,0,9,3,0
54,27.914520503896092,5594.676333952777,1,3,1,0,1,2,1,1
58,196.06065422649468,5007.60416391144,1,1,2,0,1,7,2,0
63,194.9283797288721,6964.014051406609,2,1,2,1,0,8,3,0
15,83.32048618697121,8119.280668128443,0,0,0,0,1,9,3,1
37,167.69438711392198,8310.915870552553,2,1,2,0,0,8,4,0
56,60.21661417857713,677.5042400115126,1,3,1,0,1,4,3,1
31,95.11261904889665,6452.390981697937,0,1,1,0,1,9,4,1
15,150.7609995856504,9617.641669698984,2,2,0,1,1,8,2,0
2,119.09771520290177,7574.707444517434,1,1,2,0,1,2,4,0
13,167.8012693464208,5247.039906985158,0,0,2,1,1,7,2,1
5,196.40702322736337,9985.542695793956,0,2,1,0,0,6,1,0
48,21.623176006964663,535.4223398814502,2,3,1,0,1,3,2,0
33,186.4137110688834,972.7134895061675,2,0,1,1,1,8,2,0
32,94.42050575307218,7704.6066147778465,1,0,1,1,0,6,1,1
53,93.43084958105725,5542.503476686256,2,2,2,0,0,7,1,0
21,20.118703509755903,1331.8019972009022,0,0,0,0,1,7,3,0
66,170.18301315172005,3815.594294649119,2,1,2,0,0,2,2,1
61,156.61800118095712,736.4574521849205,0,1,2,0,1,6,4,0
54,180.92187118350296,5311.560772788923,1,2,1,1,0,7,1,0
41,50.12496062906057,1130.2870701442043,2,1,1,0,1,2,1,0
38,58.72026639082714,168.2960953678214,0,0,1,0,0,8,3,0
33,74.63550473104596,3291.9988568703416,1,2,0,0,0,9,2,0
8,115.43723654694087,2415.2897368533077,0,2,0,0,0,3,3,0
36,82.12094074164119,3684.7679894689704,1,3,1,0,1,9,4,0
33,73.95077463105436,3569.5206562697786,2,0,1,0,0,6,2,0
29,52.88491447922738,6337.12756831155,1,0,2,0,0,7,1,0
57,48.65617956728856,6832.146478661076,0,3,2,1,0,7,4,1
61,105.12915326093683,1360.8542404064626,0,3,2,0,1,4,3,0
55,100.26200461841822,4937.749512150064,1,0,1,0,1,6,2,1
52,161.32363154072547,8902.598480315168,2,3,2,1,0,7,4,0
43,168.28897568455403,1569.2643305729744,0,2,0,0,1,1,1,0
26,146.11051571826482,9672.057758585943,2,2,2,1,1,9,3,1
2,169.61655867700506,291.5171867812769,1,0,0,0,1,3,3,0
55,39.59334676645625,1087.1918716934315,1,2,2,0,1,5,1,0
18,102.39674226072805,1858.0176622612848,0,0,0,0,0,8,2,0
50,71.56156469509881,4750.952976719799,0,3,1,1,1,1,2,1
45,65.32352540208336,3061.610160816266,2,1,0,0,0,6,3,0
15,148.2851062948487,4239.8834414996945,1,2,2,0,0,1,1,1
7,169.62116284976779,9414.036351743844,2,2,1,1,1,9,2,0
27,40.652714227038196,3479.674238868189,2,3,1,1,0,1,4,1
40,42.33789380243694,8496.348506495358,2,2,1,1,0,0,2,0
17,135.09261827227022,820.7918993274288,1,0,0,0,0,8,2,0
32,45.97381536355107,8138.258800930785,1,2,1,0,1,5,3,0
16,158.30924773247972,9025.43539389776,2,3,2,0,0,1,3,0
63,169.1651233608823,2921.4926311695103,2,0,1,0,0,9,3,0
60,114.11192143498351,5516.279402939247,2,2,2,0,1,3,2,0
52,183.51245827039673,1952.8938665389844,1,2,1,1,0,3,1,0
49,23.663158487022024,999.4776648789523,1,2,0,0,1,6,1,0
49,60.75388785471107,7726.9739367136835,1,2,1,1,0,6,1,0
26,159.12907039985225,6335.316142440463,2,1,2,0,1,3,4,0
51,192.31409667962544,7547.208568456628,1,1,2,0,0,4,3,0
43,192.9043147179004,4452.8907515513565,2,3,1,0,0,8,2,0
70,20.071647878363983,2571.1013173857623,0,1,0,0,1,5,2,1
71,133.73542855472525,4325.8146063850845,2,3,1,0,1,1,1,0
9,24.919219946625763,741.4233837759949,1,0,0,0,1,1,4,0
44,146.05864664680254,2906.9170778603298,0,1,2,1,1,2,2,0
64,158.2475158668348,3045.475302949954,0,0,2,1,0,6,1,1
2,174.37931231194227,7173.79404295593,0,1,1,0,1,1,3,0
36,115.29981529871259,626.0375545899686,0,3,0,0,0,0,4,0
3,173.0202340892238,2528.1909359090673,2,0,2,0,0,3,4,0
54,186.29181470582728,2838.442616852775,2,2,0,0,1,9,1,0
21,115.98119582936486,5558.469660606642,1,2,1,0,0,6,3,1
67,114.3407396736411,2522.4752644937876,1,1,0,1,1,4,4,0
9,111.05425677675547,1411.0478593780758,1,0,0,1,0,6,2,1
12,110.83453827055038,2654.009562709967,1,3,2,0,1,6,4,1
37,159.41615062042973,4276.641457869617,0,3,0,0,0,6,2,0
37,32.11938659329479,5302.21961017213,1,2,0,0,1,0,3,0
67,101.44830945464275,462.0350314376896,1,2,2,0,0,7,4,0
56,114.31759321306019,3167.1274302681636,2,1,2,1,0,5,4,1
63,58.6020333131154,7665.265575361346,0,3,1,0,0,5,2,0
26,117.42968753546245,6016.410370921821,1,0,2,0,0,9,4,1
46,102.01877728345296,4614.789849251203,0,2,0,1,0,3,3,0
53,152.76484406867442,4584.418713188263,1,0,1,1,0,8,1,0
60,83.59298296789358,3752.103886943024,0,3,2,0,0,9,3,1
32,190.95916753914207,3486.2353474887373,0,0,2,0,0,8,1,0
62,94.47146278756237,4066.2963363704507,2,3,2,1,1,5,2,0
47,133.56063687913118,8705.150891230129,1,3,1,0,0,8,1,0
61,59.90232831719009,4741.430014520656,1,0,1,0,1,0,1,1
4,143.95826386253447,6725.786842619879,0,0,2,1,1,6,4,0
2,112.4935419034157,8097.701773035413,1,0,1,0,1,8,2,1
23,81.60254191569523,4376.469420092976,2,3,0,0,0,4,4,1
55,82.62388998940555,8407.734320548545,0,1,0,0,0,5,2,0
41,87.58178901943644,9927.562112021284,0,3,1,1,1,5,4,0
68,98.74161120350297,5091.196020457847,2,3,2,1,0,4,1,0
37,64.57677885220656,4087.190423143408,1,1,1,1,0,9,3,0
11,69.93218809689945,8077.382508533899,0,2,1,0,1,8,1,0
36,192.50530817918153,6526.782159915939,0,0,2,0,0,4,4,0
15,74.2271086425469,6170.634077469348,1,0,2,0,1,2,2,1
67,132.843456172831,8872.637062182737,1,2,0,1,1,5,3,1
30,82.16126607250135,6529.5968004484075,2,0,0,0,0,5,1,0
57,165.95111850634748,6451.61644016307,0,3,1,0,1,0,2,0
62,145.27029871388862,2148.3369621007632,2,2,0,0,1,3,4,0
33,79.0809106483729,6913.457569733512,1,1,2,0,1,9,3,1
65,148.99230154020378,9138.678858458366,1,3,2,0,1,9,2,0
1,156.21398737314325,5805.786495425925,1,3,0,0,0,0,3,1
3,44.89249131176845,9043.391387886228,2,3,1,0,1,5,1,1
9,124.06634834210087,3461.7497058584245,2,3,0,1,1,1,3,0
32,165.3966745967686,521.5541315605253,1,0,2,0,0,4,3,1
45,29.062802813558086,4506.771598500208,2,3,0,0,1,2,1,0
57,111.41595605191631,139.17360913890525,0,0,0,0,0,5,4,1
21,171.17027934323025,1632.688729756958,2,0,2,1,1,8,3,1
23,191.4972875415802,1986.8607809481675,2,0,1,0,0,2,1,0
26,138.07732321170374,5384.969632211277,0,0,2,1,0,8,2,0
30,79.00498724165696,9504.304007002604,2,1,0,0,1,4,2,0
69,128.87191920676486,296.2005912412134,2,0,2,1,0,1,2,0
24,24.92540106276163,2443.2266453361194,0,0,1,1,0,9,4,0
64,102.0551055366404,9697.594180981103,2,2,1,0,1,9,1,1
35,150.91893043138924,8828.36218225171,2,1,1,0,0,9,1,1
22,26.517279149088374,8365.014597091875,2,3,1,1,1,9,1,0
39,128.58202399623056,1008.8215724584778,2,0,0,0,1,8,1,0
55,125.89796896994842,6476.572986436705,0,0,0,1,0,2,4,1
7,54.14102817928429,2111.039469647468,0,1,0,1,1,8,4,1
62,122.46009143565392,6545.142566240339,2,2,0,0,1,5,2,0
39,93.701045811459,4332.558075070474,2,3,1,1,0,0,1,1
20,106.18922350490894,6393.128805903307,0,3,1,0,0,0,2,0
56,78.57316904521666,4345.722542067154,0,1,0,0,0,2,3,0
66,165.86203296407325,9086.271462571352,1,1,0,1,1,4,3,1
15,85.81748298905593,350.552806722564,0,2,2,0,0,5,2,1
21,162.34580730507204,1996.503967942366,2,1,1,0,0,4,4,0
34,33.783149476750204,8346.670367342926,0,2,0,0,0,7,3,0
35,70.14418632235166,7393.814502083503,2,2,0,0,1,5,2,0
5,92.48060387845084,1944.2954479803168,0,0,0,0,1,1,1,0
56,92.82433065513652,1302.2210828208313,0,3,0,0,1,4,2,0
7,99.43304222198505,3181.4853631390883,0,3,0,0,1,6,1,0
53,137.43012951147176,4870.498262523771,2,0,1,0,1,1,3,0
44,123.32984518834706,564.6930711014832,0,3,2,1,0,4,2,0
58,113.78857852351871,8471.33027097383,0,1,2,0,0,4,1,1
42,170.78102926939707,5257.431083462837,1,0,2,0,1,7,4,1
18,55.310041807789716,9202.883982246029,1,2,1,0,0,8,2,0
6,174.8429869711819,3324.483057165649,0,2,0,1,0,2,4,0
4,166.057415876244,583.4177572308645,0,1,2,0,0,3,2,1
69,55.22501593433934,8726.466694656201,2,3,0,1,1,8,4,0
14,132.33139879075873,1581.2148642361094,2,1,2,0,0,8,2,0
41,60.18996897458245,3422.8558880318838,1,0,1,0,1,2,4,1
47,189.70771567427786,4696.968138437107,2,1,2,0,1,1,3,0
53,108.73093196292851,4970.269579544083,0,1,2,0,0,6,1,0
21,56.670030428226326,332.4631692765724,1,1,0,0,0,3,3,0
13,134.4997596230844,5314.746203598721,2,2,0,0,0,2,4,0
66,147.2976164896149,862.6177660494395,2,0,2,0,0,1,1,0
15,128.89453695140736,3335.7252799991497,0,3,1,1,1,9,4,0
45,63.50365311785401,9757.172527530971,2,2,1,0,0,7,2,0
65,152.3386000633592,2875.6707629919324,2,2,0,0,1,6,4,0
46,187.32129648819938,8147.432553020947,1,1,2,0,0,4,3,1
3,191.38426812011357,5152.154871433013,2,2,2,1,1,6,1,0
17,142.30634272092283,2103.9039531400736,0,0,2,0,1,0,4,1
17,171.24414774626715,7247.1702146135585,2,0,1,0,1,8,1,0
20,196.1537258840306,5595.880166551672,0,3,1,1,0,7,3,0
4,27.808544580877665,5377.031047139022,0,0,2,0,0,3,1,0
15,105.85830308274326,396.0336946703021,1,2,2,0,0,0,1,1
57,72.45345134644805,3405.0681584290915,2,3,1,1,0,3,2,0
45,105.46169117183577,7373.594282453847,0,2,0,0,0,0,1,1
27,185.04520367516412,7981.25713145093,0,2,2,1,0,5,4,0
20,197.00950828800694,8166.587877399075,0,0,1,0,0,7,1,0
6,182.88639027804388,470.19328781603724,0,0,0,0,1,4,3,0
18,55.48113956364411,1710.8411888697767,1,3,1,0,1,8,1,0
49,164.51557272984294,9857.209203748995,0,0,2,0,1,9,2,0
24,167.17819206224232,1638.9181805622295,0,2,1,1,0,1,3,0
11,124.28825606261134,2208.8515301221705,1,3,2,0,1,1,4,1
18,148.68057008034157,8045.981007761691,1,3,1,0,0,3,3,0
35,182.96432626030597,3995.0328704459125,1,3,1,0,1,5,1,1
55,198.94956708608518,1251.5318298811305,0,0,2,1,0,5,3,0
28,27.212535884158093,1338.4346907872305,0,3,2,1,0,5,4,0
36,66.28932820314843,929.3941093310553,2,0,2,0,0,5,4,1
24,188.2236939929445,1888.6162584729666,2,1,1,0,0,0,3,0
33,79.24687669878398,5020.127101858882,2,3,2,0,1,0,3,0
37,39.168045013330236,249.2311679144014,1,2,1,1,0,2,2,0
13,76.38788981441579,1259.5987938094663,2,2,0,0,0,1,4,0
16,113.32924071687168,9080.520268918779,2,3,1,0,0,6,2,1
43,89.4964255608251,8778.155574470944,1,0,2,0,1,5,1,0
50,161.89455937315958,8347.495731525925,0,1,0,1,0,4,4,1
13,129.98641778780419,7092.188066919711,1,1,0,0,1,7,4,1
71,98.2828201426272,6649.064403252976,2,0,0,0,1,1,2,0
35,199.50702009737648,2827.6065305065895,2,3,2,0,1,6,1,1
35,179.46899156315592,3416.4458719736785,1,1,0,0,0,9,3,1
24,175.20618287439308,2434.44157800247,1,0,2,1,0,3,4,1
53,122.10558814959658,9805.104957347612,2,2,0,1,1,2,2,1
39,160.3865624992088,6379.617374545968,1,3,0,1,0,0,4,0
19,80.45938143752834,9661.096956186939,2,1,0,0,1,9,2,1
44,79.37309892607408,2790.6858417565495,2,3,0,0,1,1,2,0
46,180.56955797021575,6249.970205648964,2,3,0,0,0,6,2,0
45,127.43000240229233,7613.612463731354,0,3,1,0,1,2,4,0
32,81.8456222482102,1037.916962895642,1,3,0,1,0,4,3,0
5,172.15812391517167,6702.913441489857,1,1,1,0,0,2,3,0
6,99.65972420589439,1773.8184190072623,2,1,2,0,0,6,2,0
7,91.9956589391549,3348.0162115273383,0,0,2,0,0,3,3,0
15,24.71078155998321,7189.914738081379,1,2,0,0,1,7,3,0
20,142.22045392095714,4456.6408796068845,1,1,2,1,0,9,4,0
59,115.87564152481357,9219.50234780532,0,2,0,0,1,7,3,1
4,76.12924163545978,2487.9018034613546,1,2,1,0,0,3,1,0
40,45.07425761914119,1622.4339699912762,1,1,2,1,1,1,2,0
65,52.83481235815876,3438.00250863549,1,2,0,1,1,6,1,0
35,60.47516266044716,8534.039913682696,0,0,0,1,1,0,4,1
44,175.73664028117372,8489.503097864172,0,0,2,0,1,8,4,0
7,106.51449201953713,3756.125241655382,2,0,2,0,0,4,1,0
22,145.18947999272507,8117.438948480038,2,2,2,0,0,9,4,0
23,103.03731582989545,870.1037022305584,2,3,0,0,0,3,3,1
65,105.2715240476735,175.25583804970125,1,3,0,0,0,3,1,0
20,167.98661747861206,8661.567034034742,2,0,0,1,1,8,3,0
32,158.80821144326268,8753.309693394789,2,1,1,0,0,0,3,1
36,61.78487170749252,1519.6489450475497,2,2,0,1,1,3,4,0
18,132.62956568999365,3047.371912036941,2,0,0,1,1,5,4,0
33,142.43387872845665,8520.902803732142,2,3,0,1,0,7,1,1
69,92.86462017504442,929.2927994718071,1,0,2,1,1,1,4,0
9,32.29971632340337,8644.618584636533,0,0,0,0,0,7,2,0
42,86.85287097304438,5789.3574666708655,1,0,1,1,0,8,4,0
71,84.49493551014115,6607.044270620985,0,3,1,0,0,7,2,0
4,144.31332458994396,5988.7075613770585,2,3,2,1,0,4,4,0
46,165.71320668430675,5867.070068912898,1,1,1,1,0,0,4,0
24,91.28283624806309,1932.1047681612001,2,3,1,0,1,5,3,0
69,136.22892561661274,2436.9748550431186,1,0,0,1,1,0,1,0
23,135.71022409873967,5842.531225130201,1,3,0,0,1,3,2,1
55,136.66792726694206,4073.9136002024748,2,1,0,0,0,8,1,1
15,119.77562075132417,5458.7624799526175,2,2,0,0,1,4,4,0
51,133.25891174116305,2608.3234531893336,0,1,0,1,1,6,4,0
50,176.18374080345595,4691.844262347406,2,0,1,1,0,8,4,1
47,185.92921039510247,1519.7062010392447,0,0,0,0,1,3,1,0
25,36.5238978136468,480.1142578528302,2,2,1,0,1,4,1,0
39,22.11546324018206,9516.05211039097,0,1,2,0,1,5,3,1
68,113.40484655155241,7258.245941960583,1,0,1,0,0,0,3,0
46,94.30622480081712,5030.832174237365,1,1,0,0,1,9,3,0
13,101.21049920455665,5555.016649561505,2,3,0,0,0,4,2,1
38,102.53093606377634,5160.620279975903,1,3,0,0,1,9,1,1
36,181.13394647546843,8998.213776399558,2,0,2,1,0,3,3,0
37,134.59287201273895,7759.021804096991,2,2,2,0,1,0,1,1
42,99.62121355854406,3318.9128067921615,2,3,1,0,0,3,4,1
19,101.86088776991501,2260.0494084622724,0,1,1,0,0,4,1,0
37,172.01047302172702,758.6399668825172,0,0,0,0,1,8,3,0
65,59.0701212784975,1563.1123169998777,2,2,0,0,1,0,2,0
39,22.654368656166216,4951.605229491326,1,0,0,0,0,5,3,1
26,106.07012898472713,2105.445919819187,1,0,1,0,1,7,1,0
42,192.88477260503925,3192.699788014051,1,2,0,1,1,8,4,0
62,166.58696723891023,1419.9582160638693,0,1,1,0,1,4,4,0
53,93.5111403285577,9235.860087782841,0,3,1,0,1,1,1,0
67,51.51783636579246,433.8778813154152,0,1,0,0,1,0,2,1
50,122.62434135335101,3582.926126475891,1,2,0,0,1,4,3,1
69,178.34682142224295,2655.7312512102358,1,2,1,0,1,2,1,0
29,149.10924184321598,182.19662000125155,1,3,1,0,0,5,1,1
2,117.23604013613506,9293.12049482489,1,3,1,0,1,8,1,0
18,152.27777357354717,3204.713891859124,0,2,1,0,1,0,1,0
60,193.63784270710326,5072.523340300659,2,2,2,0,1,3,3,1
14,119.48483162950552,5867.804324544675,1,3,0,0,1,3,3,0
40,119.96263012454878,6143.749595857387,1,3,1,0,1,6,3,1
64,106.14859739057725,4656.581208116047,0,1,2,1,1,1,3,0
30,121.99033592784284,5978.910998825225,0,2,2,0,0,7,3,0
29,134.32920112814372,7542.433941372218,1,2,1,0,0,5,2,0
29,56.77025184210743,9525.681381032138,2,1,2,0,0,3,4,1
19,122.24525486206504,6604.668976290365,0,0,2,1,1,2,4,1
58,22.422321695751776,4676.072276444921,0,3,2,0,0,9,3,0
40,188.8272824402443,4501.584608348576,0,3,0,0,0,6,4,0
9,26.8110732276241,7127.5879032982875,0,0,1,1,0,8,1,1
31,192.4675562171582,6307.648611828769,1,1,0,0,1,1,4,1
15,194.41869811847687,4261.827242989757,1,1,2,1,0,7,3,0
34,114.82224139581433,3425.2794435495334,1,1,2,0,0,1,2,0
62,79.83527237417437,9932.171569308579,2,1,2,0,1,5,4,0
57,53.2911289963884,7691.29017767789,0,2,0,0,0,7,1,0
21,49.19144516670207,2147.0794116642273,0,2,1,1,0,0,2,0
54,62.828109104590744,2992.4995518839846,0,1,2,0,0,6,4,0
37,105.71717301121092,8947.517831143414,1,3,0,0,1,8,1,0
40,153.72166493380405,6642.208968719798,0,0,0,0,0,5,1,1
20,91.77132584650634,3176.4530886143857,1,0,0,0,1,5,3,1
71,160.58217474681473,3705.68200369355,1,3,0,0,0,8,2,0
18,121.62550646356623,3851.1858799541897,2,1,1,1,1,1,4,0
44,23.469855623546458,1944.3224467737994,0,1,2,0,1,3,2,1
56,43.72246720288919,5160.570411522122,1,0,2,0,1,7,1,0
17,123.00494054029434,7679.149373287034,0,0,1,0,0,4,3,1
42,49.00980339884687,5684.193490207722,1,2,2,1,1,8,1,0
71,129.4961066702652,6593.825301563535,1,0,0,1,1,2,4,1
28,100.15051947144332,5994.325241701177,1,0,2,1,1,5,2,0
21,144.21480330304507,683.0647510768092,1,0,0,0,1,5,4,0
37,72.45867054834372,1961.7946010884057,2,0,1,0,0,2,4,0
23,167.8925360093069,3568.4495247239647,0,2,2,0,0,5,1,0
48,89.99917190016889,8903.426529156632,0,2,2,0,0,0,4,1
59,163.39663529937965,3552.0541091839495,1,2,1,0,1,4,4,0
52,23.48674335782863,3338.4580196097318,0,3,0,1,1,1,4,0
17,90.75513781082032,897.8077949484359,0,0,2,0,0,7,3,0
38,59.633917726063075,9723.58484998872,0,2,0,0,0,6,4,0
1,99.86245736158217,7807.641731869688,2,3,2,1,1,6,2,0
33,190.4257910230012,7682.679540127412,1,3,1,1,0,9,1,1
44,48.61230708486816,3898.6845941266165,2,1,2,1,1,3,3,0
20,35.83932984789866,875.857593863781,0,2,0,0,0,1,2,1
47,30.529308481076036,2708.850657386954,0,0,2,1,0,2,3,0
69,42.20479546829701,8543.706481043995,2,0,1,0,1,9,4,0
42,31.152381175030836,1884.9493137398094,1,1,0,1,0,3,1,1
26,143.252847436708,8953.070933919778,0,3,1,0,0,2,2,0
49,41.13231591770037,5403.969702197185,2,2,0,0,1,2,3,0
71,55.539184233235034,7173.91163822726,2,1,0,0,0,0,2,0
18,136.19557085579166,4591.04981068011,1,0,2,1,1,0,1,0
9,100.30841900481784,9329.86277842009,2,3,1,0,1,7,1,0
66,29.83965852459772,2472.617484816401,2,3,1,1,0,7,4,0
60,194.72134056070823,5767.090959540189,2,2,2,0,0,0,3,0
37,127.98758635516641,784.2485286651263,0,2,0,0,1,3,2,1
47,130.4824777290729,4856.22969766194,0,2,2,0,1,1,1,0
29,173.46493501649869,9729.872084399147,1,1,1,0,1,0,4,0
63,183.63681664278238,972.5020936320773,2,0,0,1,0,1,3,1
15,30.27626446011886,5116.557993713891,2,2,1,0,1,0,4,0
9,32.30233437649713,6062.832483719362,0,1,0,1,0,4,4,1
66,159.7791658952413,9324.283985218088,0,1,0,0,1,9,4,0
1,145.25024249404535,3044.400598410219,0,2,2,0,1,5,4,1
9,59.02623374775982,5079.112297850583,1,1,1,1,1,7,4,0
57,77.8208665453939,9873.238937006341,0,0,2,1,1,9,4,0
56,129.98737090955785,7713.288113361103,2,2,2,0,0,7,4,1
20,162.01829699877777,8123.104320002789,2,1,2,0,0,3,4,1
2,128.56815479231176,7827.061627374857,2,1,1,0,0,2,4,1
1,162.55434906740365,5200.737633407841,1,2,1,0,1,4,3,0
54,61.15124765943662,4400.105267974919,2,1,0,0,1,7,3,0
19,79.60058776150277,2622.650457538606,2,0,0,0,1,4,4,0
18,38.29216271613868,4713.071722123453,2,1,0,0,0,9,2,1
24,197.26659775892125,302.9734202127013,0,3,0,0,1,6,1,1
52,165.6182461135142,1061.398796448821,2,0,2,0,0,3,1,0
20,148.84184917477302,2943.850266809683,0,2,0,0,0,1,2,0
11,55.06624369086347,3402.932795266145,0,2,1,0,0,8,1,0
60,145.76309699970193,7104.421647611439,1,1,0,1,1,9,3,0
16,175.23430076925442,1798.863929658133,1,3,1,0,0,1,4,1
13,165.86280260180357,7978.150982511679,2,0,2,1,0,1,3,1
53,155.84336650793682,8027.93544989612,1,1,2,0,0,7,2,1
6,89.6882552798213,5911.670481390005,0,0,1,0,1,9,3,1
25,158.05356071667194,4965.8155377927815,0,2,2,0,0,5,1,0
63,107.22307203907049,4727.248878464387,2,2,1,1,1,4,1,0
47,92.81460028676312,4263.337536544911,2,3,1,0,0,2,2,0
15,193.6608175624711,976.8918647737331,2,2,1,0,0,6,4,0
54,46.4005802532036,6588.891115447702,0,3,2,0,1,7,3,0
43,175.64941151032698,5815.237022038966,0,2,0,0,0,8,1,0
14,77.97805119644013,256.0982960246956,2,0,2,1,1,1,1,1
34,112.95429446124807,2106.6880782330845,2,0,2,0,1,7,4,1
2,85.32847756270286,4419.610480955199,0,1,2,0,1,4,1,0
20,110.57555194438295,9022.946744243352,1,1,2,0,1,0,3,0
16,167.31246142934495,9903.759831820136,0,1,2,0,1,9,1,0
67,52.942377643351136,7538.130417907333,1,1,0,1,1,6,3,1
30,155.86275038629245,7518.483478298876,2,1,0,0,1,6,1,1
51,100.26001494203639,4211.218659445179,0,1,1,0,0,9,3,0
3,188.29104540546317,5752.407365807803,2,3,0,0,1,2,1,0
51,118.45772263335212,2404.8893869210146,2,3,2,1,0,2,3,0
46,27.447572177101407,7407.704698983457,2,2,1,0,0,3,2,0
40,183.83709689705063,691.8680649722634,0,3,2,1,1,4,2,0
29,186.40874382229356,4230.738081501642,0,0,1,0,0,4,2,0
23,52.38584414657735,8330.479311096857,1,3,2,0,0,4,1,0
17,195.07923419114564,9800.609980337389,0,1,1,0,0,5,4,0
69,100.24390674583563,6995.930269829791,1,3,1,1,0,0,4,0
66,184.59554793085056,2052.929840877553,1,0,0,0,0,6,3,0
23,85.53404494377041,5753.628057184288,0,2,1,0,0,3,4,0
23,24.083066073194725,5649.077946416032,0,3,0,0,1,4,1,0
7,163.1036876850117,9661.073093087465,2,0,0,0,1,7,3,0
43,179.4460204294711,8417.8484294792,2,3,0,0,1,7,3,1
62,49.305557757540186,585.2135476663817,0,2,1,1,0,4,1,1
34,119.71656879449795,2278.922625249077,1,3,0,0,1,2,3,0
51,169.68048576605426,8435.046806374563,0,0,0,0,0,9,4,0
44,103.07823738199136,9727.473047313202,2,2,1,0,0,7,2,0
70,161.90585684968414,3017.25482785275,1,2,1,0,1,1,4,0
55,134.85679230658658,6938.215288306536,2,2,2,0,1,8,1,0
66,149.7314771306122,3147.238271438013,0,2,2,1,1,5,2,0
58,185.38685500311516,506.8583613098081,0,1,1,0,0,9,2,0
43,95.02820389986125,8311.856130006247,0,1,0,0,1,3,4,0
61,158.77548095736591,7414.610891579934,2,3,1,1,0,3,2,0
38,148.28303730415433,627.7021968085396,0,3,1,0,1,2,4,0
28,99.01801998116204,1540.075371291229,0,2,2,0,0,4,4,0
57,88.61130798846416,9995.374927916142,0,0,2,1,0,5,4,0
41,178.6438400927849,6542.536794096437,2,0,1,0,0,9,1,0
50,56.85310988098122,8024.26499407071,2,1,0,1,1,2,2,1
61,77.33127899987082,3947.389990472816,0,0,1,0,0,8,1,0
69,195.40676118300078,5230.642060228973,2,2,1,1,1,7,1,0
63,69.92584221905301,6236.828279801013,1,3,2,0,1,5,4,0
26,177.0457577156541,8079.603791794038,1,3,0,1,1,4,2,0
26,86.85700111120794,3455.1734257239323,1,2,2,1,1,2,3,1
23,119.21665350718483,6755.401654821784,1,0,0,0,1,2,3,0
52,91.7016058270465,7779.012347193998,0,1,1,1,1,7,4,1
70,59.834317174323296,8070.8123928205405,1,1,1,0,1,5,4,0
4,144.39905515096285,5042.487410315895,0,3,0,0,1,9,1,0
1,193.9898361842001,4786.3017626357205,0,0,0,0,0,5,2,0
6,180.70596448463678,1134.8750244348864,2,1,1,0,0,3,4,0
56,197.34980367276037,5027.478102075183,1,0,0,1,1,2,1,0
29,144.40285904832183,7049.140986606293,0,0,1,0,0,5,3,0
3,26.2060828964946,9213.82107271656,2,1,0,0,0,0,1,0
42,119.73256956188209,1339.475893456008,0,3,2,0,1,4,1,1
9,132.05275279606735,9691.964486161201,0,0,0,1,1,6,4,1
59,41.625881934388204,2417.316622606492,2,1,2,1,1,0,4,0
38,169.11684895164538,1841.072649252337,0,2,2,1,1,9,3,0
42,151.41452173577787,1233.7250211198743,2,2,2,0,1,3,2,0
50,100.71723365107795,9902.350756745042,1,3,2,0,0,1,3,1
14,72.55905484962712,5654.0832754206485,0,1,2,1,0,0,2,1
45,59.925048479261974,2778.9397855019206,0,0,2,1,0,0,2,1
33,193.60043171370523,3243.588466465947,1,2,2,0,0,6,4,0
20,164.37360140157682,9507.684652097201,0,0,0,1,0,5,3,0
34,144.80916358493758,9009.687797712886,2,2,0,1,0,6,1,0
67,190.7084330601637,3564.8374614342283,2,1,2,0,1,0,1,0
67,56.63087169173314,729.4959960702438,2,0,2,1,1,9,3,1
70,174.36947702429356,8351.871830209573,0,3,2,1,1,2,2,0
39,125.02029477173357,9152.779034333344,1,1,0,0,1,6,3,0
43,187.94889143998802,8391.579854341167,0,0,0,0,0,9,4,1
39,138.90979616805828,9138.49485446576,1,2,1,1,1,9,1,0
44,153.47599555852054,5801.430106728697,1,1,1,0,0,8,1,0
1,60.00628178273942,8412.622675315619,0,3,1,1,1,5,2,0
50,82.09928256681715,9444.727811470844,1,2,0,0,0,7,4,0
62,74.41501593996489,8910.042033228414,0,0,0,1,0,8,3,1
3,144.94627092868694,5913.043908859251,0,0,0,0,0,6,4,1
8,94.01121841919911,7490.657097945692,0,1,0,0,1,8,1,1
48,174.79603085223678,7240.899242020819,0,3,2,0,0,9,4,0
41,58.26467334744729,8049.349886113856,2,2,1,1,1,3,3,0
